Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
8.792902,637.437500,56.656250,-213.312500,516.000000,-260.843750,-348.187500,-18.421875,-1232.250000,0.000000,-1.179688,20.531250,-0.398438,-0.265625
8.855776,660.500000,49.656250,-266.156250,513.218750,-236.000000,-341.625000,-18.625000,-1302.187500,0.000000,-1.148438,11.609375,0.984375,-0.187500
8.918679,615.906250,33.843750,-229.062500,484.500000,-264.562500,-347.687500,-19.734375,-1334.062500,2.250000,-0.453125,-7.187500,-0.289062,0.031250
8.981561,656.125000,44.968750,-243.031250,501.062500,-218.906250,-334.687500,-17.875000,-1449.562500,-0.562500,1.328125,-14.703125,0.125000,-0.718750
9.044457,567.250000,63.843750,-170.281250,517.781250,-243.531250,-361.843750,-19.695312,-1411.312500,-0.187500,-1.125000,14.992188,-0.304688,0.375000
9.107778,552.437500,61.906250,-214.000000,521.093750,-210.875000,-368.531250,-19.828125,-1276.125000,4.312500,0.796875,-13.140625,-0.039062,-0.695312
9.172179,560.062500,66.062500,-232.156250,533.500000,-185.500000,-368.125000,-19.843750,-1326.187500,-0.562500,-0.031250,23.625000,-0.570312,1.648438
9.235738,635.562500,50.781250,-249.750000,511.812500,-221.468750,-323.687500,-19.609375,-1337.062500,0.187500,-0.210938,31.921875,-0.039062,0.125000
9.298664,638.375000,45.687500,-227.468750,492.250000,-275.843750,-376.312500,-19.218750,-1329.187500,0.750000,1.156250,4.968750,0.125000,-0.015625
9.361544,610.406250,53.687500,-210.062500,494.875000,-215.218750,-333.250000,-19.578125,-1285.687500,-0.937500,0.796875,27.523438,0.554688,2.078125
9.424452,604.093750,69.750000,-222.250000,483.187500,-191.531250,-351.250000,-19.562500,-1360.312500,0.375000,-0.757812,-2.609375,0.218750,0.265625
9.487329,558.875000,36.906250,-204.781250,496.500000,-181.468750,-370.531250,-19.390625,-1375.312500,-0.562500,1.281250,31.992188,0.000000,-1.960938
9.550239,562.312500,65.312500,-263.093750,505.875000,-191.531250,-378.687500,-19.882812,-1257.000000,-0.375000,-1.101562,-40.484375,0.578125,1.234375
9.613462,628.406250,50.531250,-260.437500,487.625000,-259.468750,-382.875000,-18.710938,-1168.312500,-0.750000,-0.421875,-29.492188,0.000000,0.007812
9.677928,599.937500,55.531250,-226.000000,467.968750,-198.125000,-351.843750,-17.851562,-1356.187500,0.375000,1.054688,39.468750,1.234375,1.773438
9.741492,555.625000,57.000000,-174.593750,510.218750,-168.531250,-342.750000,-20.234375,-1338.562500,-0.750000,-1.054688,-24.468750,-0.171875,0.195312
9.804392,543.375000,68.031250,-245.062500,514.031250,-247.281250,-325.812500,-19.804688,-1304.625000,0.000000,1.171875,20.656250,0.640625,0.000000
9.867264,578.281250,40.625000,-247.781250,520.093750,-256.375000,-323.500000,-20.421875,-1392.562500,0.000000,-0.171875,-41.554688,0.320312,0.437500
9.930169,626.375000,61.218750,-281.187500,487.687500,-246.937500,-372.125000,-20.078125,-1192.875000,-0.375000,0.429688,1.585938,-0.039062,0.000000
9.993078,560.812500,82.000000,-172.906250,483.781250,-202.031250,-355.343750,-19.781250,-1370.437500,0.937500,-0.343750,23.171875,-0.062500,0.312500
10.055973,585.312500,73.531250,-197.187500,555.156250,-197.937500,-368.968750,-25.570312,-1326.187500,0.375000,-0.453125,29.171875,0.195312,-0.484375
10.119161,629.500000,86.437500,-277.750000,526.062500,-251.875000,-389.031250,-23.898438,-1419.375000,-0.750000,0.296875,8.593750,0.109375,0.117188
10.183573,570.812500,62.062500,-171.625000,486.500000,-229.593750,-373.812500,-18.765625,-1390.875000,0.562500,0.203125,11.882812,0.507812,0.257812
10.247149,605.937500,59.937500,-206.843750,470.718750,-195.343750,-384.375000,-17.695312,-1319.812500,-0.562500,1.125000,-47.937500,0.648438,-0.226562
10.310055,584.375000,30.406250,-246.468750,494.062500,-216.750000,-362.718750,-16.617188,-1240.500000,0.000000,1.617188,24.617188,0.234375,0.585938
10.372978,588.312500,29.812500,-237.468750,474.875000,-197.593750,-335.281250,-16.843750,-1345.312500,-0.562500,-0.968750,-3.140625,0.132812,-0.117188
10.435917,579.125000,34.406250,-224.812500,473.468750,-168.000000,-363.312500,-16.679688,-1342.687500,0.187500,1.171875,21.468750,0.289062,0.382812
10.498810,565.781250,45.562500,-190.812500,505.500000,-209.593750,-403.625000,-14.781250,-1187.062500,-1.125000,-0.421875,-10.656250,-0.125000,0.992188
10.561723,564.125000,14.531250,-212.781250,461.531250,-266.000000,-371.968750,-11.117188,-1271.250000,-0.375000,0.398438,-28.273438,0.515625,0.656250
10.624908,620.468750,10.156250,-232.125000,455.000000,-233.718750,-384.750000,-9.789062,-1373.250000,-1.687500,1.015625,-14.921875,1.132812,0.000000
10.689318,568.718750,7.562500,-240.937500,462.937500,-230.156250,-425.062500,-10.148438,-1334.625000,-0.375000,0.664062,-20.664062,0.078125,0.062500
10.753066,604.000000,13.625000,-251.281250,447.031250,-241.687500,-400.781250,-9.195312,-1294.312500,-0.562500,-0.078125,2.523438,0.898438,1.468750
